unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y25-29,TOTAL,CH	5.2 b	4.7 	4.7 	3.8 	6.9 	6.6 b	6.2 	5.9 	6.6 	6.3 	5.5 	6.1 
PC,T,Y25-29,TOTAL,CY	6.9 b	5.9 	4.6 	4.8 	6.9 b	8.7 	10.0 	15.7 	20.6 	19.9 	19.6 	17.6 
PC,T,Y25-29,TOTAL,CZ	8.5 b	6.6 	5.2 	4.1 	8.2 	9.4 	7.9 b	8.9 	8.1 	7.4 	6.7 	5.5 
PC,T,Y25-29,TOTAL,DE	12.5 b	11.5 	9.9 	8.4 	9.3 	8.4 b	6.9 b	6.5 	6.7 	6.1 	5.8 	5.3 
PC,T,Y25-29,TOTAL,DK	5.5 b	5.1 	4.6 	3.4 	8.0 	10.6 	11.0 	11.0 	10.0 	9.5 	8.7 	9.4 b
PC,T,Y25-29,TOTAL,EA18	11.2 b	10.3 	9.4 	9.6 	12.7 	13.7 	13.9 	15.5 	16.8 	16.1 	14.9 	13.7 
PC,T,Y25-29,TOTAL,EA19	11.1 b	10.2 	9.4 	9.6 	12.7 	13.7 	13.9 	15.5 	16.8 	16.0 	14.8 	13.6 
PC,T,Y25-29,TOTAL,EE	8.0 b	4.6 u	4.4 	5.2 	15.0 	17.7 	13.7 	10.8 	10.0 	9.2 	6.0 	7.6 
PC,T,Y25-29,TOTAL,EL	15.1 b	14.0 	14.2 	13.1 	15.1 b	19.7 	29.4 	37.4 	43.3 	40.8 	36.7 	33.8 
PC,T,Y25-29,TOTAL,ES	11.0 b	10.1 	9.0 	13.3 	21.7 	24.7 	26.3 	31.5 	33.3 	30.3 	28.5 	25.6 
PC,T,Y25-29,TOTAL,EU27	10.9 b	9.9 	8.6 	8.5 	11.4 	12.5 	12.6 	13.8 	14.5 	13.6 	12.4 	11.2 
PC,T,Y25-29,TOTAL,EU28	11.0 b	9.9 	8.7 	8.5 	11.4 	12.5 	12.7 	13.9 	14.6 	13.6 	12.4 	11.2 
PC,T,Y25-29,TOTAL,FI	8.6 b	7.7 	7.0 	6.7 b	9.7 	9.2 	8.9 	8.9 	9.5 	10.1 	11.3 	10.4 
PC,T,Y25-29,TOTAL,FR	10.6 b	10.0 	10.1 	8.9 	11.3 	11.8 	12.3 	12.6 	13.8 	14.5 b	14.1 	13.3 
PC,T,Y25-29,TOTAL,HR	15.7 b	13.8 b	13.2 	10.2 	12.2 	16.8 	22.5 	24.1 	23.4 	22.7 	20.5 	19.0 
PC,T,Y25-29,TOTAL,HU	8.1 b	8.6 	8.5 	9.0 	12.1 	14.2 	12.6 	13.8 	11.9 	9.4 	8.4 	6.3 
PC,T,Y25-29,TOTAL,IE	4.5 b	4.9 	5.0 b	7.3 	14.7 b	17.0 	19.6 	17.3 	15.3 	15.2 	12.6 	10.5 
